user_id,category_id,amount,description,expense_date,payment_method,month,category
1,1,2500.0,Groceries from Reliance Fresh,2023-11-05,UPI,2023-11,Groceries
1,2,800.0,Ola cab to office,2023-11-07,Wallet,2023-11,Transport
1,3,1200.0,Dinner at Barbeque Nation,2023-11-10,Credit Card,2023-11,Dining
1,4,3500.0,Electricity bill,2023-11-12,Net Banking,2023-11,Utilities
1,5,650.0,Netflix subscription,2023-11-15,Debit Card,2023-11,Entertainment
1,6,4500.0,New shirt and jeans from Pantaloons,2023-11-18,Credit Card,2023-11,Shopping
1,7,1200.0,Doctor visit,2023-11-20,Cash,2023-11,Healthcare
1,8,800.0,Python course book,2023-11-22,UPI,2023-11,Education
1,9,15000.0,House rent,2023-11-25,NEFT,2023-11,Rent
1,10,500.0,Donation to temple,2023-11-28,Cash,2023-11,Others
2,1,1800.0,Groceries from D-Mart,2023-11-03,UPI,2023-11,Groceries
2,2,500.0,Auto rickshaw fares,2023-11-06,Cash,2023-11,Transport
2,3,900.0,Lunch at McDonalds,2023-11-09,Debit Card,2023-11,Dining
2,4,2800.0,Mobile and internet bill,2023-11-11,UPI,2023-11,Utilities
2,5,300.0,Amazon Prime subscription,2023-11-16,Credit Card,2023-11,Entertainment
2,6,3200.0,New headphones,2023-11-19,EMI,2023-11,Shopping
2,7,600.0,Medicines,2023-11-21,Cash,2023-11,Healthcare
2,8,1200.0,Online course fee,2023-11-23,Net Banking,2023-11,Education
2,9,12000.0,House rent,2023-11-26,NEFT,2023-11,Rent
2,10,300.0,Bus charity,2023-11-29,Cash,2023-11,Others
3,1,3000.0,Groceries from Nature's Basket,2023-11-04,Credit Card,2023-11,Groceries
3,2,1500.0,Petrol for bike,2023-11-08,Wallet,2023-11,Transport
3,3,1500.0,Dinner at Punjab Grill,2023-11-11,Credit Card,2023-11,Dining
3,4,4200.0,Gas cylinder refill,2023-11-13,UPI,2023-11,Utilities
3,5,850.0,Disney+ Hotstar subscription,2023-11-17,Debit Card,2023-11,Entertainment
3,6,5500.0,New mobile phone,2023-11-20,EMI,2023-11,Shopping
3,7,1800.0,Dental checkup,2023-11-22,Cash,2023-11,Healthcare
3,8,2000.0,Data science course,2023-11-24,Net Banking,2023-11,Education
3,9,18000.0,House rent,2023-11-27,NEFT,2023-11,Rent
3,10,1000.0,Gift for friend's wedding,2023-11-30,UPI,2023-11,Others
